"","1","2","3","4","selection","Sample.ID","Cluster","Probability_selection"
"DI18R06p07.B01",0.000323745410893997,1.52344868570461e-07,0.999676102244237,6.35227023851332e-20,3,"S003-110","B",0.999676102244237
"DI18R06p07.B02",2.77015483624464e-43,3.43748751422271e-25,2.79904575318396e-29,1,4,"S011-15","D",1
"DI18R06p07.B03",0.999999999996408,3.18965445675951e-35,3.59229512853488e-12,1.00994139678256e-69,1,"S007-4","A",0.999999999996408
"DI18R06p07.B04",1.04137191623561e-53,1.86689946651732e-10,6.47093151027856e-28,0.99999999981331,4,"S011-79","D",0.99999999981331
"DI18R06p07.B05",4.93726261235053e-52,1.48710091773246e-35,5.6774505625788e-33,1,4,"S011-25","D",1
"DI18R06p07.B06",5.86565692315753e-10,1.69112340054885e-08,0.999933272981121,6.67095210796312e-05,3,"S011-4","B",0.999933272981121
"DI18R06p07.B07",6.52006880302419e-16,0.999943087744299,5.69122557000907e-05,1.5962716046526e-21,2,"S003-166","C",0.999943087744299
"DI18R06p07.B08",4.69305964779622e-07,0.00169244493036808,0.998307085763666,1.3053688099908e-15,3,"S003-122","B",0.998307085763666
"DI18R06p07.B09",3.55072072389667e-13,5.2287945753933e-22,0.999999999999645,2.28363184373424e-38,3,"S004-116","B",0.999999999999645
"DI18R06p07.B10",0.999871152323333,1.42849645107849e-28,0.000128847676667027,1.95124620922544e-47,1,"S010-15","A",0.999871152323333
"DI18R06p07.B11",1.93247437705551e-12,2.76701894205978e-05,0.999972329808647,4.0225807119157e-25,3,"S007-61","B",0.999972329808647
"DI18R06p07.B12",3.05450240760712e-47,1,9.44455498120768e-24,9.05805772807122e-29,2,"S007-131","C",1
"DI18R06p07.C01",0.999999902566769,1.38299541492009e-32,9.74332308415604e-08,5.64669015728031e-57,1,"S005-19","A",0.999999902566769
"DI18R06p07.C03",0.999643742246768,3.36660727028402e-25,0.000356257753231973,3.92477125514729e-46,1,"S005-50","A",0.999643742246768
"DI18R06p07.C04",0.999217380215252,5.11245286777606e-26,0.000782619784748215,3.25467670989431e-47,1,"S007-31","A",0.999217380215252
"DI18R06p07.C05",0.996946605269071,1.06862366125261e-21,0.0030533947309291,2.55677706465816e-45,1,"S005-63","A",0.996946605269071
"DI18R06p07.C06",0.000159512696094768,2.40328073145531e-09,0.999840484900624,2.70885626906731e-18,3,"S003-64","B",0.999840484900624
"DI18R06p07.C07",1.66350051505869e-54,8.90255981783401e-10,7.8185765443548e-27,0.999999999109744,4,"S011-63","D",0.999999999109744
"DI18R06p07.C08",0.950682263849607,1.99483219327521e-24,0.0493177361503933,2.29499926950528e-40,1,"S006-47","A",0.950682263849607
"DI18R06p07.C09",0.965109284416562,1.51581844766408e-22,0.0348907155834379,3.13209124164404e-43,1,"S007-50","A",0.965109284416562
"DI18R06p07.C10",0.000181773498000177,7.81539825887977e-27,0.999818226502,4.97018464934832e-47,3,"S004-26","B",0.999818226502
"DI18R06p07.C11",0.999999999993162,5.24103766728458e-31,6.83758895303152e-12,8.74523568548503e-72,1,"S004-122","A",0.999999999993162
"DI18R06p07.C12",0.996572388896905,5.02872921460251e-18,0.0034276111030955,2.16333832642744e-29,1,"S010-64","A",0.996572388896905
"DI18R06p07.D01",1.56053859144089e-19,0.999999999957875,4.2124665213972e-11,1.34318963410265e-22,2,"S005-180","C",0.999999999957875
"DI18R06p07.D02",5.9335272600102e-10,2.73664745052297e-07,0.999999725741715,1.87262069726555e-13,3,"S010-93","B",0.999999725741715
"DI18R06p07.D03",1.71893681691471e-53,4.09641728349135e-35,4.54225424243852e-34,1,4,"S011-23","D",1
"DI18R06p07.D04",1.61128530143734e-10,0.00289106898549542,0.997108930853374,1.76348286286813e-15,3,"S010-98","B",0.997108930853374
"DI18R06p07.D05",0.990509151324547,3.14903413739159e-26,0.00949084867545355,2.18815609977654e-45,1,"S004-7","A",0.990509151324547
"DI18R06p07.D07",1.15893983365545e-20,0.999999603392879,3.96607120687481e-07,8.63167918937613e-21,2,"S003-179","C",0.999999603392879
"DI18R06p07.D08",0.000429732143568126,1.99617874010583e-27,0.999570267856432,1.23673984492099e-44,3,"S004-49","B",0.999570267856432
"DI18R06p07.D09",0.999559368437257,4.92144543107626e-22,0.000440631562743164,4.93366185134189e-43,1,"S007-24","A",0.999559368437257
"DI18R06p07.D10",5.71608548423085e-39,1,7.37834438718981e-22,2.6472698752803e-26,2,"S010-168","C",1
"DI18R06p07.D11",2.18992510354843e-12,0.842822661387587,0.157177338610134,8.88507436588958e-14,2,"S006-96","C",0.842822661387587
"DI18R06p07.D12",2.97434806769319e-38,2.17656871829921e-23,1.1723204778806e-22,1,4,"S011-28","D",1
"DI18R06p07.E01",7.73437446309248e-29,0.999999999999998,2.03567129075616e-15,2.20207791667465e-30,2,"S004-230","C",0.999999999999998
"DI18R06p07.E02",1.04520679204018e-09,0.999887271837506,0.000112727117287269,1.29251901634316e-16,2,"S005-182","C",0.999887271837506
"DI18R06p07.E03",3.49239436931234e-28,0.999999983819395,1.6180605401932e-08,1.74711710424094e-18,2,"S007-90","C",0.999999983819395
"DI18R06p07.E04",2.66063248093608e-05,1.80540705495605e-24,0.999973393675191,2.67399790944614e-42,3,"S004-98","B",0.999973393675191
