"","1","2","3","4","selection","Sample.ID","Cluster","Probability_selection"
"DI18R07p09.G11",0.99999990195206,1.13126799630137e-33,9.8047939785979e-08,8.49499663703227e-57,1,"S005-7","A",0.99999990195206
"DI18R07p09.G12",0.999944451929199,1.56133559829926e-24,5.55480708008331e-05,1.04843677357784e-47,1,"S005-44","A",0.999944451929199
"DI18R07p09.H01",4.42946766204919e-09,9.45852285350049e-10,0.99999999462468,9.88366474064748e-33,3,"S009-124","B",0.99999999462468
"DI18R07p09.H02",3.38179063044327e-35,1,5.18089911647057e-16,1.61526670736264e-19,2,"S010-157","C",1
"DI18R07p09.H03",0.999964559974878,1.06028362503201e-25,3.54400251221983e-05,9.46225670447759e-46,1,"S005-35","A",0.999964559974878
"DI18R07p09.H04",6.53406832748966e-48,7.61826604533403e-27,1.89702374595105e-30,1,4,"S011-10","D",1
"DI18R07p09.H05",1.01233264629383e-51,3.50296025910429e-32,2.47098882612082e-34,1,4,"S011-17","D",1
"DI18R07p09.H06",0.999129032614876,1.14911405565396e-25,0.00087096738512399,1.95555825761726e-50,1,"S007-45","A",0.999129032614876
"DI18R07p09.H07",0.0473317491103978,7.40992145179474e-26,0.952668250889602,2.42723100267579e-42,3,"S004-75","B",0.952668250889602
"DI18R07p09.H09",5.41840906925171e-21,0.99999986681556,1.33184439486696e-07,1.00312310793083e-15,2,"S003-190","C",0.99999986681556
"DI18R07p09.H10",0.999733003853185,2.3761043345887e-25,0.000266996146815072,6.02407431173637e-45,1,"S007-19","A",0.999733003853185
"DI18R07p09.H11",2.86961108638982e-52,1,3.5010011218537e-24,2.52850455056344e-29,2,"S007-125","C",1
"DI18R07p10.A01",0.999999999993577,2.25969191224764e-31,6.42338424664226e-12,4.23299674383421e-69,1,"S007-7","A",0.999999999993577
"DI18R07p10.A02",4.36536592655824e-05,7.214285167545e-10,0.999956345619306,2.00445042649064e-18,3,"S003-97","B",0.999956345619306
"DI18R07p10.A03",0.0508304244120428,3.50946258688968e-10,0.949169575237011,3.63267205711338e-19,3,"S010-78","B",0.949169575237011
"DI18R07p10.A04",3.81073177472465e-27,0.999999999979531,2.04692875266291e-11,4.70982182937608e-28,2,"S010-137","C",0.999999999979531
"DI18R07p10.A05",0.999148022613612,2.37294107939984e-28,0.000851977386388012,2.96932919426202e-46,1,"S009-62","A",0.999148022613612
"DI18R07p10.A06",0.96408180497653,2.51034894467363e-24,0.0359181950234704,1.23728319064534e-43,1,"S005-64","A",0.96408180497653
"DI18R07p10.A07",0.145330237792207,3.59883192467541e-10,0.85466976184791,6.88780937184344e-18,3,"S010-82","B",0.85466976184791
"DI18R07p10.A08",0.999960584968849,1.08829781986857e-27,3.94150311511963e-05,1.53714568151704e-45,1,"S005-36","A",0.999960584968849
"DI18R07p10.A09",0.905205051668813,8.81093939724936e-19,0.0947949483311873,2.50073737131275e-40,1,"S009-94","A",0.905205051668813
"DI18R07p10.A10",1.22322335777794e-50,1,6.25927486841292e-26,5.34247592594914e-31,2,"S007-137","C",1
"DI18R07p10.A11",0.999999999632407,2.16218301476908e-29,3.67592658378571e-10,7.97481646918207e-66,1,"S003-9","A",0.999999999632407
"DI18R07p10.A12",2.11067214898743e-13,0.999963242205449,3.67577943403626e-05,6.19770498753874e-30,2,"S003-174","C",0.999963242205449
"DI18R07p10.B01",6.82984851636185e-50,1,5.27289378008682e-26,1.08474899218773e-26,2,"S007-132","C",1
"DI18R07p10.B02",1.54065410612821e-53,1.36417164003273e-34,1.41340849033877e-34,1,4,"S011-27","D",1
"DI18R07p10.B03",8.28462683534286e-14,1.50379267849744e-09,0.999999998496124,4.62832907892807e-31,3,"S009-121","B",0.999999998496124
"DI18R07p10.B04",4.38759387695774e-27,0.999999998405281,1.59471928770481e-09,4.46290818466905e-19,2,"S007-89","C",0.999999998405281
"DI18R07p10.B05",2.40338301268938e-16,0.00355075180597308,0.996449248194027,7.35150792662362e-18,3,"S009-141","B",0.996449248194027
"DI18R07p10.B06",0.0551270220689832,1.07577388018742e-26,0.944872977931017,3.96322100954584e-46,3,"S004-19","B",0.944872977931017
"DI18R07p10.B07",4.32132851815557e-05,5.08865249993873e-13,0.99995678671431,9.28734343123208e-42,3,"S005-149","B",0.99995678671431
"DI18R07p10.B08",0.999999989166428,1.94836962613993e-32,1.08335720770546e-08,4.6994196019462e-60,1,"S005-3","A",0.999999989166428
"DI18R07p10.B10",0.929244462112885,2.28036995126481e-21,0.070755537887115,6.20057673242991e-40,1,"S007-40","A",0.929244462112885
"DI18R07p10.B11",1.78836745305428e-32,1,2.55955312938941e-16,2.23985010750627e-27,2,"S009-199","C",1
"DI18R07p10.B12",1.01923362355047e-33,1,1.25983787618539e-18,2.47713236323518e-19,2,"S006-188","C",1
"DI18R07p10.C01",0.998365663250017,8.35297228112371e-27,0.00163433674998308,1.86340384494668e-44,1,"S006-28","A",0.998365663250017
"DI18R07p10.C03",6.46452534257022e-31,0.999999999997146,2.8540572023121e-12,1.39825239872121e-20,2,"S007-109","C",0.999999999997146
"DI18R07p10.C04",0.999999947540615,3.61154232991301e-25,5.24593853792705e-08,4.48176816343961e-61,1,"S005-1","A",0.999999947540615
"DI18R07p10.C05",0.999999996876257,5.15068576203377e-29,3.12374276816088e-09,7.1022641957054e-65,1,"S003-20","A",0.999999996876257
"DI18R07p10.C06",0.999999999926409,6.90842467185113e-22,7.35912839164009e-11,3.03051788941792e-47,1,"S003-4","A",0.999999999926409
"DI18R07p10.C07",0.000338411543803477,5.17634929199164e-27,0.999661588456196,2.58505153185184e-45,3,"S004-78","B",0.999661588456196
"DI18R07p10.C08",0.999995907805255,1.35053718527456e-31,4.09219474516765e-06,1.69684754900115e-54,1,"S009-46","A",0.999995907805255
"DI18R07p10.C10",3.11574562853587e-46,1,1.08229122823173e-25,2.65229796709642e-28,2,"S010-171","C",1
"DI18R07p10.C11",0.999978988772312,2.43360804617452e-30,2.101122768783e-05,1.12217384113069e-49,1,"S005-5","A",0.999978988772312
"DI18R07p10.C12",1.58942764142748e-43,2.21203577624555e-10,2.1453596569638e-26,0.999999999778797,4,"S011-52","D",0.999999999778797
"DI18R07p10.D01",1.8528793118891e-29,0.999999999999977,2.30206868623062e-14,9.75801471257222e-30,2,"S009-193","C",0.999999999999977
"DI18R07p10.D02",0.000259210040920126,9.25436394766919e-30,0.99974078995908,3.93919595627775e-45,3,"S004-63","B",0.99974078995908
"DI18R07p10.D03",2.77360958377054e-27,0.999999999987513,1.24866983811412e-11,4.31905367626974e-23,2,"S003-189","C",0.999999999987513
"DI18R07p10.D04",0.989842757276584,1.5668232694989e-23,0.0101572427234163,1.81481596723174e-44,1,"S007-44","A",0.989842757276584
"DI18R07p10.D05",0.999999709532812,4.94640811502793e-34,2.90467187605596e-07,4.11928894785996e-53,1,"S005-29","A",0.999999709532812
"DI18R07p10.D07",0.996695865551277,3.18794022214288e-24,0.00330413444872273,1.90370363096463e-43,1,"S009-78","A",0.996695865551277
"DI18R07p10.D08",1.24663109266459e-11,4.32723155215932e-21,0.999999999987534,9.07460351781856e-36,3,"S004-114","B",0.999999999987534
"DI18R07p10.D09",0.999999245953778,4.52057738025376e-32,7.5404622200359e-07,2.03073294297654e-50,1,"S005-31","A",0.999999245953778
"DI18R07p10.D10",4.38004708304472e-15,0.999633637007292,0.000366362992703653,2.25498576154329e-20,2,"S003-194","C",0.999633637007292
"DI18R07p10.D11",6.43494559100006e-40,1,1.61070679457977e-18,1.76134536874259e-32,2,"S007-124","C",1
"DI18R07p10.D12",0.499132286555713,7.74667884544356e-14,0.500867713444209,1.92782455496946e-26,3,"S010-52","B",0.500867713444209
"DI18R07p10.E01",6.35140937126847e-25,0.999999994934287,5.06571290236984e-09,7.19867107297044e-26,2,"S009-191","C",0.999999994934287
"DI18R07p10.E02",3.18117773743707e-05,3.37911084212208e-25,0.999968188222626,5.85377714901115e-45,3,"S004-95","B",0.999968188222626
"DI18R07p10.E03",0.984157401726509,2.22747101236434e-22,0.0158425982734913,1.02708940700397e-47,1,"S007-67","A",0.984157401726509
"DI18R07p10.E04",4.66923377541407e-10,2.84242850620445e-05,0.999971575248015,1.53368530235826e-30,3,"S006-131","B",0.999971575248015
"DI18R07p10.E05",0.999999220523439,5.04072674563494e-23,7.79476561344953e-07,6.55747952533727e-50,1,"S003-29","A",0.999999220523439
"DI18R07p10.E06",8.7516977115213e-24,0.999999997550908,2.44909212851871e-09,1.90256291043651e-17,2,"S007-99","C",0.999999997550908
"DI18R07p10.E07",6.70553290885881e-35,0.999999999999268,7.31868471952843e-13,3.53811221783106e-22,2,"S007-121","C",0.999999999999268
"DI18R07p10.E08",1.96901611092798e-17,0.999997067461739,2.93253819659013e-06,6.40725109785888e-14,2,"S005-183","C",0.999997067461739
"DI18R07p10.E09",3.84410881517386e-21,2.21204450084886e-10,6.30877096787564e-09,0.999999993470025,4,"S011-9","D",0.999999993470025
"DI18R07p10.E10",3.51055541773538e-07,2.97422642137652e-16,0.999999648944458,2.44053244345646e-31,3,"S004-134","B",0.999999648944458
"DI18R07p10.E11",1.16539479551644e-05,2.79679079636622e-25,0.999988346052045,1.38426076888576e-44,3,"S004-85","B",0.999988346052045
"DI18R07p10.E12",0.998439842181696,5.78269373415403e-26,0.00156015781830384,4.40422438205946e-47,1,"S007-54","A",0.998439842181696
"DI18R07p10.F01",0.000221837585735238,1.49656554458076e-07,0.999778012757707,3.75844998177517e-15,3,"S006-61","B",0.999778012757707
"DI18R07p10.F02",7.42238349549395e-12,3.1835046886199e-08,0.999989720320949,1.02478365821541e-05,3,"S011-6","B",0.999989720320949
"DI18R07p10.F04",0.943881384184551,2.97206576133905e-21,0.056118615815449,1.31070897004956e-44,1,"S007-63","A",0.943881384184551
"DI18R07p10.F05",4.79436529025424e-11,3.38744881335369e-07,0.999999661207174,1.1039753871589e-15,3,"S010-94","B",0.999999661207174
"DI18R07p10.F06",1.54051091615102e-12,0.999949843081584,5.01569168755981e-05,3.79552901574835e-24,2,"S003-169","C",0.999949843081584
"DI18R07p10.F07",9.17922078957695e-10,1.01036780079401e-09,0.99999999807171,6.46565155517012e-25,3,"S009-128","B",0.99999999807171
"DI18R07p10.F08",1.02008505742001e-19,0.999819979057747,0.00018002094222146,3.12844592316447e-14,2,"S006-93","C",0.999819979057747
"DI18R07p10.F09",2.61239303826573e-33,1.20216531540937e-05,7.01621739470448e-14,0.999987978346776,4,"S011-39","D",0.999987978346776
"DI18R07p10.F10",0.999998234490142,4.75458264031389e-33,1.76550985770053e-06,1.18098003870946e-52,1,"S009-31","A",0.999998234490142
"DI18R07p10.F11",4.2072734058267e-11,3.39755649831334e-06,0.999996602401429,3.46114072430715e-38,3,"S005-167","B",0.999996602401429
"DI18R07p10.F12",1.5318444133826e-31,0.99999999999715,2.85014767905186e-12,5.90084866395429e-20,2,"S007-84","C",0.99999999999715
"DI18R07p10.G01",0.938523822944322,1.61016650461723e-20,0.0614761770556782,7.93122573579727e-44,1,"S009-96","A",0.938523822944322
"DI18R07p10.G02",0.999480172673818,3.96961911665497e-28,0.00051982732618253,1.93714627377298e-47,1,"S009-64","A",0.999480172673818
"DI18R07p10.G03",1.57321207939886e-05,5.52555703826807e-11,0.999984267817523,6.42700593806771e-12,3,"S006-52","B",0.999984267817523
"DI18R07p10.G04",2.08685661004241e-25,0.999999994669278,5.33072125120263e-09,2.84358283465947e-16,2,"S007-75","C",0.999999994669278
"DI18R07p10.G05",0.999999985221649,4.0834941733552e-28,1.47783509133624e-08,2.25508817883206e-63,1,"S003-13","A",0.999999985221649
"DI18R07p10.G06",4.65564336782573e-39,1,5.77513456829665e-20,9.10858189235229e-27,2,"S009-244","C",1
"DI18R07p10.G07",5.40978597377096e-23,0.999999999811936,1.88064229654507e-10,1.59074068556241e-20,2,"S010-143","C",0.999999999811936
"DI18R07p10.G08",7.67827426927897e-35,3.42131362954866e-20,3.77258368187444e-23,1,4,"S011-34","D",1
"DI18R07p10.G09",1.26720918132411e-16,0.999999505035661,4.9496433862222e-07,4.54199971168992e-19,2,"S005-181","C",0.999999505035661
"DI18R07p10.G10",5.76469403799841e-29,0.999999999995522,4.47821884997025e-12,8.61300432952258e-18,2,"S010-149","C",0.999999999995522
"DI18R07p10.G11",2.62722464957158e-48,1,1.29035901108711e-19,6.47509100006609e-21,2,"S004-226","C",1
"DI18R07p10.G12",8.88000724904918e-10,2.78898629272315e-10,0.999999998833101,4.63501893399956e-24,3,"S006-68","B",0.999999998833101
"DI18R07p10.H01",0.990517827562088,2.10545447243377e-27,0.00948217243791192,7.92803926328097e-45,1,"S010-7","A",0.990517827562088
"DI18R07p10.H02",4.55671190709093e-35,1,1.04158948869442e-18,5.68923121448529e-30,2,"S009-229","C",1
"DI18R07p10.H03",0.999999999998631,9.33332430632012e-33,1.36926378014079e-12,1.33291784669776e-68,1,"S007-10","A",0.999999999998631
"DI18R07p10.H04",1.40510819557499e-33,1,1.89648670963404e-18,4.34375750838598e-23,2,"S010-184","C",1
"DI18R07p10.H05",0.189204830338073,1.13979767298945e-19,0.810795169661927,1.87395782126142e-44,3,"S007-68","B",0.810795169661927
"DI18R07p10.H06",1.49311312603579e-10,0.773449572327299,0.226550427523389,1.05191112412466e-24,2,"S006-132","C",0.773449572327299
"DI18R07p10.H07",1.4545366637144e-16,0.999999490451285,5.09548713752079e-07,5.78782211356074e-16,2,"S003-192","C",0.999999490451285
"DI18R07p10.H08",0.99954640683648,1.42506503341147e-22,0.000453593163519737,1.53141446875984e-46,1,"S005-62","A",0.99954640683648
"DI18R07p10.H09",4.29049410736597e-24,0.999999999720468,2.79530894620332e-10,9.72602789508222e-16,2,"S010-142","C",0.999999999720468
"DI18R07p10.H10",3.42132673206483e-29,0.999999998762512,1.19522459011128e-09,4.22637545301143e-11,2,"S010-108","C",0.999999998762512
"DI18R07p10.H11",0.999651028661985,7.59302849125325e-27,0.00034897133801505,1.13080488633774e-45,1,"S005-47","A",0.999651028661985
