"","superkingdom","family","genus","species","kingdom","VC","EukVirBin_noanello","EukVirBin","PhageBin","ContigBin","VC_Genus","Host","Host_specific","OTU","infection"
"NODE_165_length_2806_cov_4_081715_S011-15","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_165_length_2806_cov_4_081715_S011-15","0"
"NODE_1657_length_1422_cov_12_828996_S003-174","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_1657_length_1422_cov_12_828996_S003-174","0"
"NODE_166_length_1855_cov_3_604049_S003-179","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"Singleton_ClusterID331","SURE_ClusterID3383","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_166_length_1855_cov_3_604049_S003-179","0"
"NODE_166_length_2334_cov_5_604785_S004-153","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_166_length_2334_cov_5_604785_S004-153","0"
"NODE_166_length_2344_cov_2_380238_S004-194","Viruses","Siphoviridae","Siphoviridae","Streptococcus phage Javan311","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_166_length_2344_cov_2_380238_S004-194","Streptococcus phage Javan311"
"NODE_166_length_2479_cov_13_301832_S010-139","Viruses","Siphoviridae","Skunavirus","Lactococcus phage 96401","Viruses_ProkaryoticVirus_LB","0",NA,NA,"SURE_ClusterID332","SURE_ClusterID3385","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_166_length_2479_cov_13_301832_S010-139","Lactococcus phage 96401"
"NODE_166_length_2561_cov_4_996779_S007-63","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_166_length_2561_cov_4_996779_S007-63","0"
"NODE_167_length_1808_cov_29_987291_S007-48","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_167_length_1808_cov_29_987291_S007-48","0"
"NODE_167_length_1902_cov_9_671781_S009-181","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_167_length_1902_cov_9_671781_S009-181","0"
"NODE_167_length_4886_cov_16_289665_S005-199","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"Singleton_ClusterID333","NOTSURE_ClusterID3407","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_167_length_4886_cov_16_289665_S005-199","0"
"NODE_167_length_5048_cov_8_389459_S003-101","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"Singleton_ClusterID334","NOTSURE_ClusterID3408","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_167_length_5048_cov_8_389459_S003-101","0"
"NODE_1673_length_1554_cov_1_425863_S010-123","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"SURE_ClusterID230","SURE_ClusterID2232","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_1673_length_1554_cov_1_425863_S010-123","0"
"NODE_168_length_1847_cov_4_350847_S003-179","0","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_168_length_1847_cov_4_350847_S003-179","0"
"NODE_168_length_2105_cov_5_366864_S006-131","Viruses","Siphoviridae","Nipunavirus","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_168_length_2105_cov_5_366864_S006-131","0"
"NODE_168_length_2621_cov_3_658019_S011-11","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"Singleton_ClusterID335","NOTSURE_ClusterID2049","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_168_length_2621_cov_3_658019_S011-11","0"
"NODE_168_length_3112_cov_8_583855_S003-174","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"Singleton_ClusterID336","Singleton_ClusterID3437","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_168_length_3112_cov_8_583855_S003-174","0"
"NODE_168_length_3331_cov_7_176398_S007-7","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_168_length_3331_cov_7_176398_S007-7","0"
"NODE_168_length_4976_cov_16_882017_S007-13","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"NOTSURE_ClusterID337","SURE_ClusterID293","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_168_length_4976_cov_16_882017_S007-13","0"
"NODE_1683_length_1639_cov_2_492958_S003-164","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"Singleton_ClusterID338","Singleton_ClusterID3448","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_1683_length_1639_cov_2_492958_S003-164","0"
"NODE_1685_length_1115_cov_11_614644_S007-63","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_1685_length_1115_cov_11_614644_S007-63","0"
"NODE_169_length_1109_cov_3_576550_S010-7","Viruses","Myoviridae","Myoviridae","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_169_length_1109_cov_3_576550_S010-7","0"
"NODE_169_length_1228_cov_3_582971_S009-124","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_169_length_1228_cov_3_582971_S009-124","0"
"NODE_169_length_1987_cov_3_630890_S007-137","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_169_length_1987_cov_3_630890_S007-137","0"
"NODE_169_length_3151_cov_9_853286_S003-162","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"NOTSURE_ClusterID151","NOTSURE_ClusterID756","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_169_length_3151_cov_9_853286_S003-162","0"
"NODE_169_length_3994_cov_3_558591_S009-76","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"NOTSURE_ClusterID339","NOTSURE_ClusterID979","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_169_length_3994_cov_3_558591_S009-76","0"
"NODE_169_length_8659_cov_252_549056_S010-136","Viruses","Siphoviridae","Skunavirus","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"SURE_ClusterID340","SURE_ClusterID3465","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_169_length_8659_cov_252_549056_S010-136","0"
"NODE_1690_length_1717_cov_3_302439_S011-17","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_1690_length_1717_cov_3_302439_S011-17","0"
"NODE_1697_length_1143_cov_20_317073_S003-190","Viruses","Siphoviridae","Skunavirus","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"SURE_ClusterID104","SURE_ClusterID482","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_1697_length_1143_cov_20_317073_S003-190","0"
"NODE_17_length_10243_cov_3498_648239_S011-6","Viruses","Microviridae","Microviridae","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"Singleton_ClusterID341","Singleton_ClusterID3472","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_17_length_10243_cov_3498_648239_S011-6","0"
"NODE_17_length_10754_cov_10_325560_S003-192","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_17_length_10754_cov_10_325560_S003-192","0"
"NODE_17_length_11112_cov_47_916538_S007-61","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"Singleton_ClusterID342","Singleton_ClusterID3473","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_17_length_11112_cov_47_916538_S007-61","0"
"NODE_17_length_16790_cov_31_866930_S004-114","Viruses","Siphoviridae","Siphoviridae","Streptococcus phage Javan253","Viruses_ProkaryoticVirus_LB","0",NA,NA,"SURE_ClusterID343","SURE_ClusterID3474","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_17_length_16790_cov_31_866930_S004-114","Streptococcus phage Javan253"
"NODE_17_length_17747_cov_16_280645_S007-71","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"SURE_ClusterID344","SURE_ClusterID3475","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_17_length_17747_cov_16_280645_S007-71","0"
"NODE_17_length_2164_cov_3_369909_S005-25","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"SURE_ClusterID345","SURE_ClusterID3476","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_17_length_2164_cov_3_369909_S005-25","0"
"NODE_17_length_2985_cov_3_983150_S006-10","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_17_length_2985_cov_3_983150_S006-10","0"
"NODE_17_length_3002_cov_6_755214_S006-74","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_17_length_3002_cov_6_755214_S006-74","0"
"NODE_17_length_37350_cov_19_434738_S010-136","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_17_length_37350_cov_19_434738_S010-136","0"
"NODE_17_length_4678_cov_76_419909_S004-75","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"Singleton_ClusterID346","NOTSURE_ClusterID3480","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_17_length_4678_cov_76_419909_S004-75","0"
"NODE_17_length_5344_cov_7_269034_S005-183","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_17_length_5344_cov_7_269034_S005-183","0"
"NODE_17_length_5992_cov_9_754522_S005-167","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"NOTSURE_ClusterID347","NOTSURE_ClusterID3481","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_17_length_5992_cov_9_754522_S005-167","0"
"NODE_17_length_6026_cov_11_848546_S007-129","Archaea","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_17_length_6026_cov_11_848546_S007-129","0"
"NODE_17_length_6202_cov_8_809959_S005-66","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"NOTSURE_ClusterID223","NOTSURE_ClusterID2165","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_17_length_6202_cov_8_809959_S005-66","0"
"NODE_17_length_7359_cov_14_174677_S009-229","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_17_length_7359_cov_14_174677_S009-229","0"
"NODE_17_length_7741_cov_10_997129_S010-21","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"SURE_ClusterID201","SURE_ClusterID3482","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_17_length_7741_cov_10_997129_S010-21","0"
"NODE_17_length_7755_cov_169_906877_S010-93","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"SURE_ClusterID14","NOTSURE_ClusterID19","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_17_length_7755_cov_169_906877_S010-93","0"
"NODE_17_length_7920_cov_5_713502_S009-191","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"NOTSURE_ClusterID38","NOTSURE_ClusterID45","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_17_length_7920_cov_5_713502_S009-191","0"
"NODE_17_length_8072_cov_6_901689_S011-2","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"NOTSURE_ClusterID198","NOTSURE_ClusterID1804","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_17_length_8072_cov_6_901689_S011-2","0"
"NODE_17_length_8137_cov_25_078660_S009-124","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_17_length_8137_cov_25_078660_S009-124","0"
"NODE_17_length_8690_cov_10_587020_S010-108","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_17_length_8690_cov_10_587020_S010-108","0"
"NODE_17_length_8705_cov_13_753129_S009-64","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_17_length_8705_cov_13_753129_S009-64","0"
"NODE_17_length_9462_cov_14_143740_S009-179","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_17_length_9462_cov_14_143740_S009-179","0"
"NODE_17_length_9742_cov_16_084635_S007-99","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"NOTSURE_ClusterID92","NOTSURE_ClusterID261","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_17_length_9742_cov_16_084635_S007-99","0"
"NODE_17_length_9915_cov_5_043606_S011-34","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"NOTSURE_ClusterID238","NOTSURE_ClusterID2397","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_17_length_9915_cov_5_043606_S011-34","0"
"NODE_170_length_2302_cov_4_173483_S011-28","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"NOTSURE_ClusterID238","NOTSURE_ClusterID2397","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_170_length_2302_cov_4_173483_S011-28","0"
"NODE_170_length_4236_cov_18_447944_S007-72","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"NOTSURE_ClusterID301","NOTSURE_ClusterID3054","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_170_length_4236_cov_18_447944_S007-72","0"
"NODE_1703_length_1142_cov_50_388732_S003-190","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"SURE_ClusterID348","SURE_ClusterID3496","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_1703_length_1142_cov_50_388732_S003-190","0"
"NODE_171_length_1660_cov_2_790903_S007-129","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_171_length_1660_cov_2_790903_S007-129","0"
"NODE_171_length_2909_cov_11_442797_S010-149","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"SURE_ClusterID240","SURE_ClusterID1308","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_171_length_2909_cov_11_442797_S010-149","0"
"NODE_171_length_3494_cov_10_398888_S007-124","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"NOTSURE_ClusterID349","NOTSURE_ClusterID365","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_171_length_3494_cov_10_398888_S007-124","0"
"NODE_171_length_4851_cov_19_723921_S005-199","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"Singleton_ClusterID350","Singleton_ClusterID3515","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_171_length_4851_cov_19_723921_S005-199","0"
"NODE_172_length_1402_cov_2_824906_S011-4","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_172_length_1402_cov_2_824906_S011-4","0"
"NODE_172_length_1498_cov_3_555947_S009-128","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_172_length_1498_cov_3_555947_S009-128","0"
"NODE_172_length_2406_cov_59_018463_S003-192","Viruses","Siphoviridae","Skunavirus","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"SURE_ClusterID172","SURE_ClusterID1522","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_172_length_2406_cov_59_018463_S003-192","0"
"NODE_172_length_4278_cov_12_212330_S007-60","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"NOTSURE_ClusterID351","NOTSURE_ClusterID2912","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_172_length_4278_cov_12_212330_S007-60","0"
"NODE_1723_length_1447_cov_4_647445_S011-10","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_1723_length_1447_cov_4_647445_S011-10","0"
"NODE_1724_length_950_cov_6_069874_S007-60","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_1724_length_950_cov_6_069874_S007-60","0"
"NODE_173_length_1118_cov_2_108549_S004-56","0","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_173_length_1118_cov_2_108549_S004-56","0"
"NODE_173_length_1831_cov_5_694413_S007-50","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_173_length_1831_cov_5_694413_S007-50","0"
"NODE_1738_length_1616_cov_4_311891_S003-164","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_1738_length_1616_cov_4_311891_S003-164","0"
"NODE_174_length_1249_cov_7_585324_S009-116","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_174_length_1249_cov_7_585324_S009-116","0"
"NODE_174_length_1682_cov_10_906542_S004-114","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_174_length_1682_cov_10_906542_S004-114","0"
"NODE_174_length_1789_cov_3_641355_S009-62","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"Singleton_ClusterID352","NOTSURE_ClusterID3570","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_174_length_1789_cov_3_641355_S009-62","0"
"NODE_174_length_2240_cov_5_254276_S004-153","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_174_length_2240_cov_5_254276_S004-153","0"
"NODE_1741_length_734_cov_4_340944_S010-133","Viruses","Siphoviridae","Skunavirus","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_1741_length_734_cov_4_340944_S010-133","0"
"NODE_175_length_1172_cov_3_613699_S009-70","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"Singleton_ClusterID353","Singleton_ClusterID3591","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_175_length_1172_cov_3_613699_S009-70","0"
"NODE_175_length_1718_cov_19_464351_S007-125","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_175_length_1718_cov_19_464351_S007-125","0"
"NODE_175_length_1822_cov_2_891117_S007-19","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_175_length_1822_cov_2_891117_S007-19","0"
"NODE_175_length_2237_cov_3_125000_S007-61","Viruses","Siphoviridae","Siphoviridae","Streptococcus phage SM1","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_175_length_2237_cov_3_125000_S007-61","Streptococcus phage SM1"
"NODE_175_length_2260_cov_2_976638_S011-28","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_175_length_2260_cov_2_976638_S011-28","0"
"NODE_175_length_4158_cov_9_343053_S007-72","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_175_length_4158_cov_9_343053_S007-72","0"
"NODE_175_length_4836_cov_9_052742_S005-199","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"SURE_ClusterID354","NOTSURE_ClusterID507","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_175_length_4836_cov_9_052742_S005-199","0"
"NODE_175_length_5863_cov_4_510716_S010-123","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_175_length_5863_cov_4_510716_S010-123","0"
"NODE_176_length_4404_cov_8_685463_S003-164","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"NOTSURE_ClusterID151","NOTSURE_ClusterID756","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_176_length_4404_cov_8_685463_S003-164","0"
"NODE_177_length_1434_cov_3_679440_S010-142","Viruses","Siphoviridae","Skunavirus","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"SURE_ClusterID104","SURE_ClusterID482","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_177_length_1434_cov_3_679440_S010-142","0"
"NODE_177_length_1992_cov_2_625587_S006-131","Viruses","Siphoviridae","Nipunavirus","Pseudomonas virus NP1","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_177_length_1992_cov_2_625587_S006-131","Pseudomonas virus NP1"
"NODE_177_length_3074_cov_3_882883_S007-67","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_177_length_3074_cov_3_882883_S007-67","0"
"NODE_177_length_6863_cov_12_743148_S003-99","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_177_length_6863_cov_12_743148_S003-99","0"
"NODE_1772_length_694_cov_3_265802_S007-13","Viruses","Siphoviridae","Phietavirus","Staphylococcus virus PH15","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_1772_length_694_cov_3_265802_S007-13","Staphylococcus virus PH15"
"NODE_1773_length_1886_cov_4_529574_S003-194","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_1773_length_1886_cov_4_529574_S003-194","0"
"NODE_178_length_2105_cov_11_433925_S004-116","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_178_length_2105_cov_11_433925_S004-116","0"
"NODE_178_length_2362_cov_3_979869_S004-122","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"NOTSURE_ClusterID192","NOTSURE_ClusterID203","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_178_length_2362_cov_3_979869_S004-122","0"
"NODE_178_length_2849_cov_3_218615_S010-149","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"Singleton_ClusterID355","NOTSURE_ClusterID3657","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_178_length_2849_cov_3_218615_S010-149","0"
"NODE_178_length_6467_cov_13_221909_S006-52","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"Singleton_ClusterID356","SURE_ClusterID895","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_178_length_6467_cov_13_221909_S006-52","0"
"NODE_1787_length_1433_cov_14_853245_S007-124","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_1787_length_1433_cov_14_853245_S007-124","0"
"NODE_179_length_1548_cov_5_977566_S009-61","Viruses","Unclassified bacterial viruses","Unclassified bacterial viruses","Streptococcus phage Javan326","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_179_length_1548_cov_5_977566_S009-61","Streptococcus phage Javan326"
"NODE_179_length_1988_cov_4_942439_S010-184","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"SURE_ClusterID357","NOTSURE_ClusterID1143","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_179_length_1988_cov_4_942439_S010-184","0"
"NODE_179_length_8495_cov_14_395937_S010-136","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"NOTSURE_ClusterID117","NOTSURE_ClusterID3678","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_179_length_8495_cov_14_395937_S010-136","0"
"NODE_1796_length_1877_cov_9_043889_S003-194","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"NOTSURE_ClusterID312","NOTSURE_ClusterID621","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_1796_length_1877_cov_9_043889_S003-194","0"
"NODE_18_length_10219_cov_28_173930_S004-124","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_18_length_10219_cov_28_173930_S004-124","0"
"NODE_18_length_15963_cov_10_277414_S004-114","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"SURE_ClusterID358","SURE_ClusterID3699","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_18_length_15963_cov_10_277414_S004-114","0"
"NODE_18_length_16170_cov_355_255950_S009-90","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"SURE_ClusterID359","SURE_ClusterID3700","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_18_length_16170_cov_355_255950_S009-90","0"
