"","superkingdom","family","genus","species","kingdom","VC","EukVirBin_noanello","EukVirBin","PhageBin","ContigBin","VC_Genus","Host","Host_specific","OTU","infection"
"NODE_10_length_10062_cov_282_464497_S010-93","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_10_length_10062_cov_282_464497_S010-93","0"
"NODE_10_length_10353_cov_148_232581_S009-124","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_10_length_10353_cov_148_232581_S009-124","0"
"NODE_10_length_10482_cov_32_003364_S006-44","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"NOTSURE_ClusterID68","NOTSURE_ClusterID81","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_10_length_10482_cov_32_003364_S006-44","0"
"NODE_10_length_10699_cov_9_434099_S004-3","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_10_length_10699_cov_9_434099_S004-3","0"
"NODE_10_length_10883_cov_9_594207_S004-117","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_10_length_10883_cov_9_594207_S004-117","0"
"NODE_10_length_10888_cov_10_908889_S009-8","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"SURE_ClusterID69","SURE_ClusterID82","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_10_length_10888_cov_10_908889_S009-8","0"
"NODE_10_length_11295_cov_10_396684_S010-88","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_10_length_11295_cov_10_396684_S010-88","0"
"NODE_10_length_11391_cov_131_712480_S011-25","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,"SURE_ClusterID70","SURE_ClusterID83","0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_10_length_11391_cov_131_712480_S011-25","0"
"NODE_10_length_11567_cov_17_357963_S011-87","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_10_length_11567_cov_17_357963_S011-87","0"
"NODE_10_length_11897_cov_24_837225_S009-116","Bacteria","0","0","0","Viruses_ProkaryoticVirus_LB","0",NA,NA,NA,NA,"0","ProkaryoticOrganism","ProkaryoticOrganism","NODE_10_length_11897_cov_24_837225_S009-116","0"
